season,section_name,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield
2022-2023,Abd_ElMagid,0.75,0.27,0.73,4.78,14.35,2.32,0.04,0.02,0.29,0.04,0.12,0.25,0.89,0.71,0.98,12.14,36.41,3.48,0.11,0.12,0.12,2.32,6.95
2022-2023,Kab_Elgidad,0.75,0.25,0.75,4.74,14.23,2.52,0.0,0.02,0.29,0.0,0.0,0.0,0.88,0.71,0.98,12.76,38.28,3.91,0.1,0.08,0.08,1.87,5.6
2022-2023,Turabi,0.73,0.27,0.73,4.68,14.04,2.35,0.0,0.02,0.22,0.0,0.0,0.0,0.9,0.78,0.98,13.43,40.28,3.42,0.1,0.09,0.09,1.8,5.4
2022-2023,Al_Gourashi,0.72,0.31,0.69,4.95,14.85,2.19,0.0,0.05,0.14,0.1,0.3,0.25,0.88,0.86,0.95,15.32,45.95,3.14,0.1,0.11,0.11,2.0,6.0
2022-2023,Surhan,0.73,0.31,0.69,5.3,15.89,2.31,0.13,0.06,0.34,0.18,0.55,0.44,0.86,0.66,0.94,10.39,31.17,3.02,0.07,0.08,0.08,1.69,5.06
2022-2023,Shaliee,0.76,0.36,0.64,5.88,17.63,2.29,0.2,0.07,0.28,0.52,1.56,0.59,0.87,0.72,0.93,11.56,34.68,3.08,0.05,0.08,0.08,1.4,4.19
2022-2023,Tabat,0.75,0.36,0.64,5.62,16.86,2.19,0.16,0.05,0.26,0.47,1.41,1.02,0.87,0.74,0.95,11.9,35.7,3.08,0.06,0.09,0.09,1.59,4.78
2022-2023,Elmessellamia,0.75,0.37,0.63,5.59,16.76,2.1,0.0,0.06,0.27,0.17,0.5,0.35,0.87,0.73,0.94,11.22,33.67,2.76,0.08,0.1,0.1,1.67,5.01
2022-2023,Wad_ElBurr,0.77,0.4,0.6,6.31,18.94,2.2,0.05,0.07,0.24,0.36,1.07,0.76,0.85,0.76,0.93,12.03,36.1,2.72,0.06,0.1,0.1,1.59,4.78
2022-2023,Elbasatna,0.75,0.39,0.61,5.69,17.06,2.09,0.02,0.07,0.25,0.09,0.27,0.07,0.87,0.75,0.93,11.09,33.27,2.58,0.08,0.09,0.09,1.46,4.39
2022-2023,El_Mukhtar,0.69,0.33,0.67,4.66,13.98,1.98,0.0,0.07,0.28,0.01,0.02,0.0,0.85,0.72,0.93,11.25,33.76,2.57,0.11,0.11,0.11,1.82,5.47
2022-2023,Wad Elnaw,0.74,0.39,0.61,5.42,16.27,2.01,0.0,0.09,0.2,0.02,0.06,0.02,0.89,0.8,0.91,12.22,36.67,2.51,0.08,0.1,0.1,1.65,4.96
2022-2023,Hag Abdalla and North West Sennar,0.74,0.38,0.62,5.5,16.51,2.07,0.09,0.06,0.27,0.19,0.58,0.46,0.87,0.73,0.94,12.04,36.11,2.49,0.09,0.1,0.1,1.75,5.26
2022-2023,EL_Mansi,0.72,0.32,0.68,5.21,15.64,2.25,0.25,0.06,0.3,0.6,1.79,1.23,0.87,0.7,0.94,11.4,34.2,3.05,0.07,0.08,0.08,1.63,4.88
2022-2023,El_Tahameed,0.75,0.31,0.69,5.65,16.95,2.41,0.32,0.03,0.3,0.39,1.17,0.89,0.88,0.7,0.97,12.59,37.77,3.36,0.06,0.09,0.09,1.83,5.48
2022-2023,Elfakhakhir,0.75,0.37,0.63,6.04,18.11,2.25,0.01,0.08,0.2,0.08,0.24,0.14,0.88,0.8,0.92,13.54,40.62,3.0,0.06,0.11,0.11,1.92,5.77
2022-2023,Elhafair,0.74,0.35,0.65,5.64,16.91,2.22,0.15,0.05,0.24,0.61,1.83,0.75,0.87,0.76,0.95,13.72,41.17,2.84,0.07,0.13,0.13,2.17,6.51
2022-2023,Matouri,0.75,0.36,0.64,5.78,17.34,2.21,0.05,0.05,0.22,0.4,1.21,0.36,0.88,0.78,0.95,13.66,40.97,2.71,0.07,0.13,0.13,2.28,6.84
2022-2023,Gabouga,0.73,0.29,0.71,4.53,13.58,2.14,0.02,0.07,0.43,0.19,0.58,0.4,0.86,0.57,0.93,8.84,26.52,2.62,0.08,0.07,0.07,1.33,4.0
2022-2023,Elshawal,0.78,0.37,0.63,5.66,16.98,2.15,0.34,0.04,0.2,0.46,1.37,0.73,0.88,0.8,0.96,13.39,40.17,2.68,0.05,0.09,0.09,1.55,4.66
2022-2023,Elhurga/Nuraldin,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Al Genied,0.67,0.22,0.78,3.19,9.56,1.86,0.0,0.03,0.43,0.14,0.42,0.51,0.88,0.57,0.97,9.43,28.3,2.89,0.16,0.11,0.11,1.87,5.6
2023-2024,Abd_ElMagid,0.78,0.3,0.7,4.88,14.63,2.13,0.02,0.02,0.27,0.23,0.68,0.99,0.9,0.73,0.98,11.14,33.43,3.25,0.07,0.11,0.11,2.04,6.13
2023-2024,Kab_Elgidad,0.78,0.28,0.72,4.64,13.92,2.15,0.22,0.04,0.32,0.39,1.16,1.05,0.88,0.68,0.96,11.91,35.72,3.62,0.06,0.08,0.08,1.78,5.34
2023-2024,Turabi,0.78,0.32,0.68,4.99,14.97,2.05,0.0,0.02,0.27,0.16,0.49,0.38,0.9,0.73,0.98,10.32,30.97,3.43,0.06,0.09,0.09,1.73,5.19
2023-2024,Al_Gourashi,0.78,0.34,0.66,5.18,15.55,2.02,0.0,0.04,0.27,0.27,0.82,0.69,0.88,0.73,0.96,10.17,30.51,3.09,0.07,0.1,0.1,1.75,5.24
2023-2024,Surhan,0.78,0.32,0.68,4.74,14.21,1.92,0.32,0.05,0.39,0.5,1.51,0.96,0.87,0.61,0.95,10.4,31.2,3.21,0.06,0.08,0.08,1.64,4.92
2023-2024,Shaliee,0.79,0.36,0.64,5.14,15.41,1.89,0.2,0.04,0.3,0.36,1.07,1.03,0.87,0.7,0.96,10.02,30.07,3.2,0.04,0.08,0.08,1.5,4.5
2023-2024,Tabat,0.79,0.36,0.64,5.42,16.25,1.99,0.12,0.04,0.27,0.32,0.97,0.88,0.88,0.73,0.96,10.29,30.87,3.39,0.05,0.08,0.08,1.5,4.51
2023-2024,Elmessellamia,0.79,0.37,0.63,5.24,15.72,1.94,0.0,0.06,0.3,0.19,0.57,0.47,0.87,0.7,0.94,9.85,29.56,2.74,0.05,0.09,0.09,1.47,4.41
2023-2024,Wad_ElBurr,0.79,0.4,0.6,5.9,17.71,2.0,0.49,0.1,0.27,1.13,3.38,1.05,0.87,0.73,0.9,9.55,28.65,2.8,0.04,0.08,0.08,1.33,4.0
2023-2024,Elbasatna,0.8,0.38,0.62,5.42,16.25,1.96,0.1,0.05,0.3,0.33,0.98,0.91,0.87,0.7,0.95,9.03,27.08,2.57,0.05,0.08,0.08,1.28,3.83
2023-2024,El_Mukhtar,0.78,0.35,0.65,4.6,13.79,1.79,0.03,0.05,0.29,0.12,0.35,0.33,0.88,0.71,0.95,9.65,28.95,2.91,0.06,0.12,0.12,1.73,5.2
