season,section_name,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield
2022-2023,Abd_ElMagid,0.69,0.2,0.8,3.52,7.04,1.46,0.0,0.01,0.46,0.01,0.01,0.02,0.89,0.54,0.99,9.6,19.2,2.36,0.17,0.1,0.1,2.08,4.15
2022-2023,Kab_Elgidad,0.72,0.24,0.76,4.28,8.56,1.59,0.0,0.01,0.45,0.0,0.0,0.0,0.88,0.55,0.99,10.4,20.8,2.62,0.14,0.08,0.08,1.83,3.66
2022-2023,Turabi,0.71,0.24,0.76,4.06,8.12,1.49,0.0,0.01,0.37,0.0,0.0,0.0,0.89,0.63,0.99,11.49,22.97,2.38,0.13,0.09,0.09,1.72,3.45
2022-2023,Al_Gourashi,0.7,0.28,0.72,4.39,8.79,1.42,0.0,0.04,0.19,0.0,0.0,0.0,0.89,0.81,0.96,13.69,27.38,2.13,0.11,0.09,0.09,1.73,3.47
2022-2023,Surhan,0.71,0.28,0.72,4.66,9.32,1.49,0.01,0.04,0.39,0.25,0.5,0.36,0.86,0.61,0.96,10.46,20.92,2.11,0.08,0.07,0.07,1.51,3.01
2022-2023,Shaliee,0.72,0.3,0.7,4.92,9.85,1.48,0.0,0.04,0.28,0.05,0.1,0.07,0.86,0.72,0.96,11.35,22.71,2.04,0.09,0.07,0.07,1.54,3.08
2022-2023,Tabat,0.7,0.28,0.72,4.49,8.98,1.43,0.01,0.04,0.31,0.13,0.26,0.21,0.87,0.69,0.96,11.64,23.29,2.11,0.1,0.1,0.1,1.92,3.83
2022-2023,Elmessellamia,0.73,0.33,0.67,4.87,9.75,1.39,0.0,0.07,0.33,0.11,0.21,0.13,0.87,0.67,0.93,10.28,20.56,1.82,0.07,0.08,0.08,1.41,2.83
2022-2023,Wad_ElBurr,0.69,0.3,0.7,4.46,8.92,1.37,0.05,0.05,0.3,0.38,0.76,0.58,0.85,0.7,0.95,10.5,21.01,1.76,0.11,0.09,0.09,1.65,3.29
2022-2023,Elbasatna,0.74,0.35,0.65,5.15,10.31,1.39,0.0,0.06,0.33,0.19,0.39,0.09,0.87,0.67,0.94,10.33,20.66,1.73,0.07,0.08,0.08,1.32,2.63
2022-2023,El_Mukhtar,0.66,0.28,0.72,3.95,7.9,1.3,0.0,0.05,0.29,0.16,0.32,0.13,0.86,0.71,0.95,11.0,22.01,1.87,0.12,0.08,0.08,1.53,3.05
2022-2023,Wad Elnaw,0.73,0.34,0.66,4.78,9.57,1.33,0.11,0.05,0.26,0.45,0.91,0.27,0.87,0.74,0.95,12.07,24.14,1.69,0.08,0.09,0.09,1.52,3.05
2022-2023,Hag Abdalla and North West Sennar,0.71,0.33,0.67,4.7,9.4,1.33,0.02,0.05,0.32,0.09,0.18,0.18,0.87,0.68,0.95,11.68,23.36,1.66,0.11,0.11,0.11,1.87,3.75
2022-2023,EL_Mansi,0.7,0.28,0.72,4.49,8.98,1.42,0.0,0.04,0.36,0.06,0.12,0.08,0.86,0.64,0.96,11.01,22.02,2.12,0.09,0.08,0.08,1.57,3.13
2022-2023,El_Tahameed,0.71,0.27,0.73,4.78,9.56,1.54,0.0,0.02,0.37,0.04,0.09,0.05,0.87,0.63,0.98,10.84,21.68,2.21,0.11,0.09,0.09,2.0,4.0
2022-2023,Elfakhakhir,0.72,0.32,0.68,5.07,10.13,1.47,0.0,0.03,0.23,0.0,0.0,0.0,0.86,0.77,0.97,12.11,24.23,1.98,0.07,0.07,0.07,1.44,2.89
2022-2023,Elhafair,0.71,0.28,0.72,4.61,9.22,1.48,0.0,0.04,0.24,0.22,0.44,0.42,0.87,0.76,0.96,13.25,26.5,2.03,0.09,0.08,0.08,1.69,3.37
