season,section_name,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield
2022-2023,Abd_ElMagid,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Kab_Elgidad,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Turabi,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Al_Gourashi,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Surhan,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Shaliee,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Tabat,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Elmessellamia,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Wad_ElBurr,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Elbasatna,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,El_Mukhtar,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Wad Elnaw,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Hag Abdalla and North West Sennar,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EL_Mansi,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,El_Tahameed,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Elfakhakhir,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Elhafair,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Matouri,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Gabouga,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Elshawal,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Elhurga/Nuraldin,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Al Genied,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Abd_ElMagid,0.75,0.23,0.77,4.89,4.89,0.91,0.0,0.02,0.61,0.11,0.11,0.25,0.88,0.39,0.98,9.6,9.6,1.25,0.11,0.08,0.08,2.17,2.17
2023-2024,Kab_Elgidad,0.75,0.25,0.75,5.43,5.43,0.94,0.0,0.02,0.48,0.05,0.05,0.11,0.86,0.52,0.98,10.2,10.2,1.36,0.08,0.06,0.06,1.84,1.84
2023-2024,Turabi,0.73,0.25,0.75,5.04,5.04,0.87,0.0,0.03,0.43,0.01,0.01,0.02,0.87,0.57,0.97,10.76,10.76,1.25,0.07,0.06,0.06,1.62,1.62
2023-2024,Al_Gourashi,0.73,0.26,0.74,4.84,4.84,0.81,0.14,0.05,0.54,0.16,0.16,0.15,0.86,0.46,0.95,9.38,9.38,1.13,0.06,0.06,0.06,1.4,1.4
2023-2024,Surhan,0.74,0.27,0.73,5.3,5.3,0.86,0.0,0.02,0.52,0.2,0.2,0.26,0.84,0.48,0.98,9.68,9.68,1.16,0.05,0.05,0.05,1.51,1.51
2023-2024,Shaliee,0.75,0.3,0.7,5.49,5.49,0.82,0.0,0.04,0.33,0.0,0.0,0.0,0.85,0.67,0.96,10.29,10.29,1.16,0.06,0.06,0.06,1.62,1.62
2023-2024,Tabat,0.73,0.28,0.72,4.98,4.98,0.79,0.06,0.04,0.48,0.21,0.21,0.19,0.86,0.52,0.96,9.6,9.6,1.16,0.06,0.07,0.07,1.53,1.53
2023-2024,Elmessellamia,0.74,0.28,0.72,4.55,4.55,0.73,0.16,0.05,0.49,0.38,0.38,0.34,0.86,0.51,0.95,8.23,8.23,1.03,0.05,0.06,0.06,1.14,1.14
2023-2024,Wad_ElBurr,0.74,0.29,0.71,4.81,4.81,0.76,0.1,0.04,0.4,0.26,0.26,0.3,0.85,0.6,0.96,8.22,8.22,1.0,0.06,0.07,0.07,1.25,1.25
2023-2024,Elbasatna,0.76,0.31,0.69,4.76,4.76,0.72,0.28,0.05,0.4,0.56,0.56,0.3,0.87,0.6,0.95,8.13,8.13,0.94,0.05,0.05,0.05,1.06,1.06
2023-2024,El_Mukhtar,0.74,0.26,0.74,4.44,4.44,0.76,0.0,0.04,0.41,0.0,0.0,0.0,0.86,0.59,0.96,8.19,8.19,1.05,0.07,0.06,0.06,1.39,1.39
2023-2024,Wad Elnaw,0.76,0.29,0.71,4.39,4.39,0.71,0.05,0.05,0.32,0.34,0.34,0.2,0.88,0.68,0.95,8.49,8.49,0.96,0.05,0.06,0.06,1.09,1.09
2023-2024,Hag Abdalla and North West Sennar,0.73,0.27,0.73,4.0,4.0,0.7,0.2,0.05,0.5,0.33,0.33,0.28,0.85,0.5,0.95,6.59,6.59,0.87,0.06,0.06,0.06,1.06,1.06
2023-2024,EL_Mansi,0.74,0.28,0.72,5.38,5.38,0.83,0.0,0.03,0.49,0.02,0.02,0.03,0.85,0.51,0.97,9.42,9.42,1.21,0.07,0.06,0.06,1.67,1.67
2023-2024,El_Tahameed,0.75,0.26,0.74,5.57,5.57,0.9,0.0,0.03,0.42,0.13,0.13,0.17,0.86,0.58,0.97,9.63,9.63,1.2,0.07,0.06,0.06,1.85,1.85
